Number,Name,Nat,Pos,Date of Birth,Birth Place,Previous Club,Current Club,Year
17,Kevin Kilbane,IRL,M,02-01-77,Preston,Wigan Ath,Hull City,2009
18,Caleb Folan,IRL,F,26-10-82,Leeds,Wigan Ath,Hull City,2009
19,Steven Mouyokolo,FRA,D,24-01-87,Melun,Boulogne,Hull City,2009
20,George Boateng,NED,M,09-05-75,Nkawkaw,Middlesbrough,Hull City,2009
21,Jimmy Bullard,ENG,M,23-10-78,Newham,Fulham,Hull City,2009
22,Dean Marney,ENG,M,31-01-84,Barking,Tottenham H,Hull City,2009
23,Kamel Ghilas,ALG,F,03-09-84,Marseille,Celta Vigo,Hull City,2009
24,Kamil Zayatte,GUI,D,03-07-85,Conakry,Young Boys,Hull City,2009
27,Nicky Featherstone,ENG,F,22-09-88,Goole,None,Hull City,2009
28,Ibrahima Sonko,SEN,D,22-01-81,Bignola,Stoke C,Hull City,2009
29,Jan Vennegoor of Hesselink,NED,F,11-07-78,Oldenzaal,Celtic,Hull City,2009
31,Will Atkinson,ENG,M,14-10-88,Beverley,None,Hull City,2009
34,Mark Oxley,ENG,G,06-02-90,Sheffield,Rotherham U,Hull City,2009
35,Liam Cooper,SCO,D,08-03-91,Hull,None,Hull City,2009
36,Jamie Devitt,IRL,M,07-06-90,Dublin,None,Hull City,2009
39,Steve Gardner,ENG,D,05-12-90,Hull,None,Hull City,2009
40,Ryan Kendall,ENG,F,14-09-89,Hull,None,Hull City,2009
41,John Leonard,ENG,M,03-05-91,,None,Hull City,2009
42,Nathan Hanley,NIR,D,18-07-90,Larne,Linfield,Hull City,2009
43,Yann Ekra,FRA,F,12-10-90,,Lyon,Hull City,2009
44,Seyi George Olofinjana,NGA,M,30-06-80,Lagos,Wolverhampton W,Hull City,2009
45,Tom Cairney,ENG,M,20-01-91,Nottingham,None,Hull City,2009
1,Diego Cavalieri,BRA,G,12-01-82,São Paulo,Palmeiras,Liverpool,2009
2,Glen Johnson,ENG,D,23-08-84,Greenwich,Portsmouth,Liverpool,2009
4,Alberto Aquilani,ITA,M,07-07-84,Rome,Roma,Liverpool,2009
5,Daniel Agger,DEN,D,12-12-84,Hvidovre,Brøndby,Liverpool,2009
8,Steven Gerrard,ENG,M,30-05-80,Whiston,None,Liverpool,2009
9,Fernando Torres,ESP,F,20-03-84,Madrid,Atlético Madrid,Liverpool,2009
11,Albert Riera,ESP,M,15-04-82,Manacor,Espanyol,Liverpool,2009
12,Fábio Aurélio,BRA,D,24-09-79,São Carlos,Valencia,Liverpool,2009
15,Yossi Benayoun,ISR,M,05-05-80,Beersheba,West Ham U,Liverpool,2009
16,Sotirios Kyrgiakos,GRE,D,23-07-79,Trikala,AEK,Liverpool,2009
17,Maxi Rodríguez,ARG,M,01-02-81,Rosario,Atlético Madrid,Liverpool,2009
18,Dirk Kuyt,NED,F,22-07-80,Katwijk,Feyenoord,Liverpool,2009
19,Ryan Babel,NED,F,19-12-86,Amsterdam,Ajax,Liverpool,2009
20,Javier Mascherano,ARG,M,06-08-84,Rosario,West Ham U,Liverpool,2009
21,Lucas Leiva,BRA,M,01-09-87,Dourados,Grêmio,Liverpool,2009
22,Emiliano Insúa,ARG,D,01-07-89,Buenos Aires,Boca Juniors,Liverpool,2009
23,Jamie Carragher,ENG,D,28-01-78,Bootle,None,Liverpool,2009
24,David N'Gog,FRA,F,04-01-89,Gennevilliers,Paris St-Germain,Liverpool,2009
25,Pepe Reina,ESP,G,31-08-82,Madrid,Villarreal,Liverpool,2009
26,Jay Spearing,ENG,M,25-11-88,Wirral,None,Liverpool,2009
27,Philipp Degen,SUI,D,15-02-83,Basel,Borussia Dortmund,Liverpool,2009
28,Damien Plessis,FRA,M,03-05-88,Neuville-aux-Bois,Lyon,Liverpool,2009
31,Nabil El Zhar,MAR,M,27-08-86,Alès,St-Etienne,Liverpool,2009
32,Stephen Darby,ENG,D,10-06-88,Liverpool,None,Liverpool,2009
34,Martin Kelly,ENG,D,27-04-90,Bolton,None,Liverpool,2009
36,Steven Irwin,ENG,D,29-09-90,Liverpool,None,Liverpool,2009
37,Martin Škrteľ,SVK,D,15-12-84,Handlová,Zenit St Petersburg,Liverpool,2009
38,Robbie Threlfall,ENG,D,25-11-88,Liverpool,None,Liverpool,2009
39,Nathan Eccleston,ENG,F,30-12-90,Manchester,None,Liverpool,2009
40,Daniel Ayala,ESP,D,11-07-90,El Saucejo,Sevilla B,Liverpool,2009
41,Martin Hansen,ENG,G,15-06-90,Glostrup,Brøndby,Liverpool,2009
42,Péter Gulácsi,HUN,G,05-06-90,Budapest,MTK,Liverpool,2009
43,Dean Bouzanis,AUS,G,10-02-90,Sydney,NSWIS,Liverpool,2009
44,David Martin,ENG,G,22-01-86,Romford,MK Dons,Liverpool,2009
45,Alex Kačaniklić,SWE,M,13-08-91,Helsingborg,Helsingborgs IF,Liverpool,2009
46,David Amoo,ENG,F,13-04-91,London,Millwall,Liverpool,2009
47,Daniel Pacheco,ESP,F,01-05-91,Málaga,Barcelona,Liverpool,2009
48,Gerardo Bruna,ARG,M,29-01-91,Mendoza,Real Madrid,Liverpool,2009
49,Jack Robinson,ENG,D,09-01-93,Warrington,None,Liverpool,2009
1,Shay Given,IRL,G,20-04-76,Lifford,Newcastle U,Manchester City,2009
2,Micah Richards,ENG,D,24-06-88,Birmingham,None,Manchester City,2009
3,Wayne Bridge,ENG,D,08-05-80,Southampton,Chelsea,Manchester City,2009
4,Nedum Onuoha,ENG,D,11-12-86,Warri,None,Manchester City,2009
5,Pablo Zabaleta,ARG,D,16-01-85,Capital Federal,Espanyol,Manchester City,2009
6,Michael Johnson,ENG,M,24-02-88,Urmston,None,Manchester City,2009
7,Stephen Ireland,IRL,M,22-08-86,Cork,None,Manchester City,2009
8,Shaun Wright-Phillips,ENG,M,25-10-81,Greenwich,Chelsea,Manchester City,2009
11,Adam Johnson,ENG,M,14-07-87,Sunderland,Middlesbrough,Manchester City,2009
12,Stuart Taylor,ENG,G,28-11-80,Romford,Aston Villa,Manchester City,2009
14,Roque Santa Cruz,PAR,F,16-08-81,Asunción,Blackburn R,Manchester City,2009
15,Javier Garrido,ESP,D,15-03-85,Irún,Real Sociedad,Manchester City,2009
16,Sylvinho,BRA,D,04-12-74,São Paulo,Barcelona,Manchester City,2009
17,Martin Petrov,BUL,M,15-01-79,Vzatza,Atlético Madrid,Manchester City,2009
18,Gareth Barry,ENG,M,23-02-81,Hastings,Aston Villa,Manchester City,2009
19,Joleon Lescott,ENG,D,16-08-82,Birmingham,Everton,Manchester City,2009
24,Patrick Vieira,FRA,M,23-06-76,Dakar,Internazionale,Manchester City,2009
25,Emmanuel Adebayor,TOG,F,26-02-84,Lomé,Arsenal,Manchester City,2009
26,David González,COL,G,20-07-82,Medellín,Huracán,Manchester City,2009
28,Kolo Touré,CIV,D,19-03-81,Sokoura Bouaké,Arsenal,Manchester City,2009
32,Carlos Tévez,ARG,F,02-05-84,Ciudadela,West Ham U,Manchester City,2009
33,Vincent Kompany,BEL,D,04-10-86,Ukkel,Hamburg,Manchester City,2009
34,Nigel de Jong,NED,M,30-11-84,Amsterdam,Hamburg,Manchester City,2009
35,Scott Kay,ENG,M,18-09-89,Denton,None,Manchester City,2009
37,Gunnar Nielsen,FRO,G,10-07-86,Tórshavn,Blackburn R,Manchester City,2009
38,Márton Fülöp,HUN,G,05-03-83,Budapest,Sunderland,Manchester City,2009
39,Craig Bellamy,WAL,F,13-07-79,Cardiff,West Ham U,Manchester City,2009
41,Ben Mee,ENG,D,23-09-89,Sale,None,Manchester City,2009
42,Karl Moore,IRL,M,11-09-88,Dublin,None,Manchester City,2009
44,Dedryck Boyata,BEL,D,09-08-90,Uccle,None,Manchester City,2009
45,Greg Cunningham,IRL,D,31-01-91,Galway,None,Manchester City,2009
47,James Poole,ENG,F,20-03-90,Stockport,None,Manchester City,2009
48,Abdisalam Ibrahim,NOR,M,05-01-91,Mogadishu,Fjellhamar,Manchester City,2009
51,Robert Mak,SVK,M,03-08-91,Bratislava,Slovan Bratislava,Manchester City,2009
52,Alex Nimely,ENG,F,05-11-91,Monrovia,Cotonsport Garoua,Manchester City,2009
53,David Ball,ENG,F,14-12-89,Whitefield,None,Manchester City,2009
54,Kieran Trippier,ENG,D,19-09-90,Bury,None,Manchester City,2009
55,Andrew Tutte,ENG,M,21-09-90,Liverpool,None,Manchester City,2009
56,Chris Chantler,ENG,M,16-12-90,Cheadle Hulme,None,Manchester City,2009
1,Edwin van der Sar,NED,G,29-10-70,Voorhout,Fulham,Manchester United,2009
2,Gary Neville,ENG,D,18-02-75,Bury,None,Manchester United,2009
3,Patrice Evra,FRA,D,15-05-81,Dakar,Monaco,Manchester United,2009
4,Owen Hargreaves,ENG,M,20-01-81,Calgary,Bayern Munich,Manchester United,2009
5,Rio Ferdinand,ENG,D,11-07-78,Peckham,Leeds U,Manchester United,2009
6,Wes Brown,ENG,D,13-10-79,Manchester,None,Manchester United,2009
7,Michael Owen,ENG,F,14-12-79,Chester,Newcastle U,Manchester United,2009
8,Anderson,BRA,M,13-04-88,Porto Alegre,FC Porto,Manchester United,2009
9,Dimitar Berbatov,BUL,F,30-01-81,Blagoevgrad,Tottenham H,Manchester United,2009
10,Wayne Rooney,ENG,F,24-10-85,Croxteth,Everton,Manchester United,2009
11,Ryan Giggs,WAL,M,29-11-73,Cardiff,None,Manchester United,2009
12,Ben Foster,ENG,G,04-03-83,Leamington,Stoke C,Manchester United,2009
13,Park Ji-Sung,KOR,M,25-02-81,Suwon,PSV Eindhoven,Manchester United,2009
15,Nemanja Vidić,SRB,D,21-10-81,Užice,Spartak Moscow,Manchester United,2009
16,Michael Carrick,ENG,M,28-07-81,Wallsend,Tottenham H,Manchester United,2009
17,Nani,POR,M,17-11-86,Praia,Sporting CP,Manchester United,2009
18,Paul Scholes,ENG,M,16-11-74,Salford,None,Manchester United,2009
20,Fábio,BRA,D,07-09-90,Petrópolis,Fluminense,Manchester United,2009
21,Rafael,BRA,D,07-09-90,Petrópolis,Fluminense,Manchester United,2009
22,John O'Shea,IRL,D,30-04-81,Waterford,Waterford U,Manchester United,2009
23,Jonny Evans,NIR,D,01-02-88,Belfast,None,Manchester United,2009
24,Darren Fletcher,SCO,M,02-01-84,Edinburgh,None,Manchester United,2009
25,Luis Antonio Valencia,ECU,M,08-04-85,Lago Agrio,Wigan Ath,Manchester United,2009
26,Gabriel Obertan,FRA,F,26-02-89,Pantin,Bordeaux,Manchester United,2009
27,Federico Macheda,ITA,F,22-08-91,Rome,Lazio,Manchester United,2009
28,Darron Gibson,IRL,M,25-10-87,Derry,None,Manchester United,2009
29,Tomasz Kuszczak,POL,G,20-03-82,Krosno Odrzańskie,WBA,Manchester United,2009
30,Ritchie De Laet,BEL,D,28-11-88,Antwerp,Stoke C,Manchester United,2009
31,Corry Evans,NIR,D,30-07-90,Belfast,None,Manchester United,2009
32,Mame Biram Diouf,SEN,F,16-12-87,Dakar,Molde,Manchester United,2009
36,David Gray,SCO,D,05-04-88,Edinburgh,Hearts,Manchester United,2009
37,Craig Cathcart,NIR,D,02-06-89,Belfast,None,Manchester United,2009
38,Ron-Robert Zieler,GER,G,02-12-89,Cologne,Köln,Manchester United,2009
39,James Chester,ENG,D,23-01-89,Warrington,None,Manchester United,2009
41,Joshua King,NOR,F,15-01-92,Oslo,None,Manchester United,2009
42,Magnus Eikrem,NOR,M,08-08-90,Molde,Molde,Manchester United,2009
43,Matthew James,ENG,M,22-07-91,Bacup,None,Manchester United,2009
44,Joe Dudgeon,NIR,D,26-11-90,Leeds,None,Manchester United,2009
45,Oliver Gill,ENG,D,15-09-90,Frimley,None,Manchester United,2009
46,Cameron Stewart,ENG,M,04-08-91,Manchester,None,Manchester United,2009
47,Oliver Norwood,NIR,M,04-12-91,Burnley,None,Manchester United,2009
1,David James,ENG,G,08-01-70,Welwyn Garden City,Manchester C,Portsmouth,2009
3,Ricardo Rocha,POR,D,10-03-78,Braga,Standard Liège,Portsmouth,2009
4,Aaron Mokoena,RSA,D,25-11-80,Johannesburg,Blackburn R,Portsmouth,2009
5,Jamie O'Hara,ENG,M,25-09-86,South London,Tottenham H,Portsmouth,2009
6,Hayden Mullins,ENG,M,27-03-79,Reading,West Ham U,Portsmouth,2009
7,Hermann Hreidarsson,ISL,D,07-11-74,Reykjavik,Charlton Ath,Portsmouth,2009
8,Pape Bouba Diop,SEN,M,28-01-78,Dakar,Fulham,Portsmouth,2009
9,Frédéric Piquionne,FRA,F,12-08-78,Nouméa,Lyon,Portsmouth,2009
11,Michael Brown,ENG,M,25-01-77,Hartlepool,Wigan Ath,Portsmouth,2009
15,Antti Niemi,FIN,G,31-05-72,Oulu,Fulham,Portsmouth,2009
16,Steve Finnan,IRL,D,20-04-76,Limerick,Espanyol,Portsmouth,2009
17,John Utaka,NGA,F,01-08-82,Legugnu,Rennes,Portsmouth,2009
18,Anthony Vanden Borre,BEL,D,24-10-87,Likasi,Genoa,Portsmouth,2009
19,Danny Webber,ENG,F,28-12-81,Manchester,Sheffield U,Portsmouth,2009
20,Tommy Smith,ENG,F,22-05-80,Hemel Hempstead,Watford,Portsmouth,2009
21,Jamie Ashdown,ENG,G,30-11-80,Reading,Reading,Portsmouth,2009
22,Richard Hughes,SCO,M,25-06-79,Glasgow,Bournemouth,Portsmouth,2009
23,Kevin-Prince Boateng,GHA,M,03-06-87,Berlin,Tottenham H,Portsmouth,2009
24,Aruna Dindane,CIV,F,26-11-80,Abidjan,Lens,Portsmouth,2009
26,Tal Ben Haim,ISR,D,31-03-82,Rishon LeZion,Manchester C,Portsmouth,2009
27,Nwankwo Kanu,NGA,F,08-01-76,Owerri,WBA,Portsmouth,2009
31,Liam O'Brien,ENG,G,30-11-91,Ruislip,QPR,Portsmouth,2009
32,Hassan Yebda,ALG,M,14-05-84,Saint-Maurice,Benfica,Portsmouth,2009
33,Aggelos Basinas,GRE,M,01-03-76,Spata,AEK,Portsmouth,2009
35,Marc Wilson,IRL,D,17-08-87,Belfast,None,Portsmouth,2009
37,Gaël Nlundulu,FRA,F,29-04-92,Paris,Paris St-Germain,Portsmouth,2009
38,Marlon Pack,ENG,M,25-03-91,Portsmouth,None,Portsmouth,2009
39,Nadir Belhadj,ALG,D,18-06-82,Saint Claude,Lens,Portsmouth,2009
40,Joel Ward,ENG,D,29-10-89,Emsworth,None,Portsmouth,2009
41,Matt Ritchie,ENG,M,09-10-89,Gosport,None,Portsmouth,2009
43,James Hurst,ENG,D,31-01-92,Sutton Coldfield,WBA,Portsmouth,2009
44,Luke Wilkinson,ENG,D,12-02-91,Wells,Bristol C,Portsmouth,2009
46,Lennard Sowah,GER,D,23-08-92,Hamburg,Arsenal,Portsmouth,2009
47,Nadir Çiftçi,NED,F,02-12-92,Den Haag,ADO Den Haag,Portsmouth,2009
1,Steve Simonsen,ENG,G,04-03-79,South Shields,Everton,Stoke City,2009
3,Danny Higginbotham,ENG,D,29-12-78,Manchester,Sunderland,Stoke City,2009
4,Robert Huth,GER,D,18-08-84,Berlin,Middlesbrough,Stoke City,2009
6,Glenn Whelan,IRL,M,13-01-84,Dublin,Sheffield W,Stoke City,2009
7,Liam Lawrence,IRL,M,14-12-81,Retford,Sunderland,Stoke City,2009
9,James Beattie,ENG,F,27-02-78,Lancaster,Sheffield U,Stoke City,2009
10,Ricardo Fuller,JAM,F,31-10-79,Kingston,Southampton,Stoke City,2009
11,Mamady Sidibé,MLI,F,18-12-79,Bamako,Gillingham,Stoke City,2009
12,Dave Kitson,ENG,F,21-01-80,Hitchin,Reading,Stoke City,2009
14,Danny Pugh,ENG,M,19-10-82,Manchester,Preston NE,Stoke City,2009
15,Salif Diao,SEN,M,02-10-77,Kedougou,Liverpool,Stoke City,2009
17,Ryan Shawcross,ENG,D,10-04-87,Chester,Manchester U,Stoke City,2009
18,Dean Whitehead,ENG,M,01-12-82,Abingdon,Sunderland,Stoke City,2009
19,Amdy Faye,SEN,M,03-12-77,Dakar,Charlton Ath,Stoke City,2009
20,Tuncay Şanlı,TUR,F,16-01-82,Sakarya,Middlesbrough,Stoke City,2009
21,Andrew Davies,ENG,D,17-12-84,Stockton-on-Tees,Southampton,Stoke City,2009
22,Danny Collins,WAL,D,08-06-80,Chester,Sunderland,Stoke City,2009
24,Rory Delap,IRL,M,07-06-76,Sutton Coldfield,Sunderland,Stoke City,2009
25,Abdoulaye Diagne-Faye,SEN,D,26-02-78,Dakar,Newcastle U,Stoke City,2009
26,Matthew Etherington,ENG,M,14-08-81,Truro,West Ham U,Stoke City,2009
27,Asmir Begović,BIH,G,20-06-87,Trebinje,Portsmouth,Stoke City,2009
28,Andy Wilkinson,ENG,D,08-06-84,Stone,None,Stoke City,2009
29,Thomas Sørensen,DEN,G,06-12-76,Fredericia,Aston Villa,Stoke City,2009
32,Diego Arismendi,URU,M,25-01-88,Montevideo,Nacional [URU],Stoke City,2009
35,Ben Marshall,ENG,M,29-09-91,Salford,Crewe Alex,Stoke City,2009
36,Matthew Lund,NIR,M,21-11-90,Manchester,Crewe Alex,Stoke City,2009
37,Nathaniel Wedderburn,ENG,M,30-06-91,Wolverhampton,Wolverhampton W,Stoke City,2009
38,Danzelle St. Louis-Hamilton,ENG,G,05-07-90,Stevenage,Watford,Stoke City,2009
42,Louis Moult,ENG,F,14-05-92,Stoke-on-Trent,None,Stoke City,2009
43,Dave Parton,ENG,G,22-11-92,Stoke-on-Trent,None,Stoke City,2009
44,Ryan Connor,ENG,M,13-12-91,Stoke-on-Trent,None,Stoke City,2009
1,Craig Gordon,SCO,G,31-12-82,Edinburgh,Hearts,Sunderland,2009
2,Phillip Bardsley,ENG,D,28-06-85,Salford,Manchester U,Sunderland,2009
3,George McCartney,NIR,D,29-04-81,Belfast,West Ham U,Sunderland,2009
4,Michael Turner,ENG,D,11-09-83,Lewisham,Hull C,Sunderland,2009
5,Anton Ferdinand,ENG,D,18-02-85,Peckham,West Ham U,Sunderland,2009
6,Alan Hutton,SCO,D,30-11-84,Glasgow,Tottenham H,Sunderland,2009
7,Boudewijn Zenden,NED,M,15-08-76,Maastricht,Marseille,Sunderland,2009
8,Steed Malbranque,FRA,M,01-06-80,Mouscron,Tottenham H,Sunderland,2009
9,Fraizer Campbell,ENG,F,13-09-87,Huddersfield,Manchester U,Sunderland,2009
10,Kieran Richardson,ENG,M,21-10-84,Greenwich,Manchester U,Sunderland,2009
11,Darren Bent,ENG,F,02-06-84,Tooting,Tottenham H,Sunderland,2009
12,John Mensah,GHA,D,29-11-82,Obuasi,Lyon,Sunderland,2009
15,Liam Noble,ENG,M,05-08-91,Newcastle upon Tyne,None,Sunderland,2009
16,Jordan Henderson,ENG,M,17-06-90,Sunderland,None,Sunderland,2009
17,Kenwyne Jones,TRI,F,10-05-84,Point Fortin,Southampton,Sunderland,2009
18,David Meyler,IRL,M,29-05-89,Cork,Cork C,Sunderland,2009
19,Lorik Cana,ALB,M,27-07-83,Pristina,Marseille,Sunderland,2009
20,Andy Reid,IRL,M,29-07-82,Dublin,Charlton Ath,Sunderland,2009
22,Paulo da Silva,PAR,D,02-01-80,Asunción,Toluca,Sunderland,2009
24,Trevor Carson,NIR,G,03-05-88,Downpatrick,None,Sunderland,2009
25,Roy O'Donovan,IRL,F,08-10-85,Cork,Cork C,Sunderland,2009
26,Adam Reed,ENG,M,05-08-91,Hartlepool,None,Sunderland,2009
27,Matthew Kilgallon,ENG,D,01-08-84,York,Sheffield U,Sunderland,2009
28,Benjani Mwaruwari,ZIM,F,13-08-78,Bulawayo,Manchester C,Sunderland,2009
29,Jack Colback,ENG,M,24-10-89,Killingworth,None,Sunderland,2009
30,Ryan Noble,ENG,F,11-06-91,Sunderland,None,Sunderland,2009
32,Márton Fülöp,HUN,G,05-03-83,Budapest,Tottenham H,Sunderland,2009
33,Michael Liddle,IRL,D,25-12-89,London,None,Sunderland,2009
39,Lee Cattermole,ENG,M,21-03-88,Stockton-on-Tees,Wigan Ath,Sunderland,2009
1,Heurelho Gomes,BRA,G,15-02-81,João Pinheiro,PSV Eindhoven,Tottenham Hotspur,2009
3,Gareth Bale,WAL,M,16-07-89,Cardiff,Southampton,Tottenham Hotspur,2009
4,Younes Kaboul,FRA,D,01-04-86,St-Julien-en-Genevois,Portsmouth,Tottenham Hotspur,2009
5,David Bentley,ENG,M,27-08-84,Peterborough,Blackburn R,Tottenham Hotspur,2009
6,Tom Huddlestone,ENG,M,28-12-86,Nottingham,Derby Co,Tottenham Hotspur,2009
7,Aaron Lennon,ENG,M,16-04-87,Chapeltown,Leeds U,Tottenham Hotspur,2009
8,Jermaine Jenas,ENG,M,18-02-83,Nottingham,Newcastle U,Tottenham Hotspur,2009
9,Roman Pavlyuchenko,RUS,F,15-12-81,Mostovskoy,Spartak Moscow,Tottenham Hotspur,2009
12,Wilson Palacios,HON,M,29-07-84,La Ceiba,Wigan Ath,Tottenham Hotspur,2009
13,James Walker,ENG,G,07-09-73,Sutton-in-Ashfield,West Ham U,Tottenham Hotspur,2009
14,Luka Modrić,CRO,M,09-09-85,Zadar,Dinamo Zagreb,Tottenham Hotspur,2009
15,Peter Crouch,ENG,F,30-01-81,Macclesfield,Portsmouth,Tottenham Hotspur,2009
17,Eiður Guðjohnsen,ISL,F,15-09-78,Reykjavík,Monaco,Tottenham Hotspur,2009
18,Jermain Defoe,ENG,F,10-07-82,Beckton,Portsmouth,Tottenham Hotspur,2009
19,Sébastien Bassong,CMR,D,07-09-86,Paris,Newcastle U,Tottenham Hotspur,2009
20,Michael Dawson,ENG,D,18-11-83,Northallerton,Nottingham F,Tottenham Hotspur,2009
21,Niko Kranjčar,CRO,M,13-08-84,Zagreb,Portsmouth,Tottenham Hotspur,2009
22,Vedran Ćorluka,CRO,D,02-05-86,Derventa,Manchester C,Tottenham Hotspur,2009
23,Carlo Cudicini,ITA,G,09-06-73,Milan,Chelsea,Tottenham Hotspur,2009
25,Danny Rose,ENG,D,07-02-90,Doncaster,Leeds U,Tottenham Hotspur,2009
26,Ledley King,ENG,D,10-12-80,Bow,None,Tottenham Hotspur,2009
27,Ben Alnwick,ENG,G,01-01-87,Prudhoe,Sunderland,Tottenham Hotspur,2009
28,Kyle Walker,ENG,D,28-05-90,Sheffield,Sheffield U,Tottenham Hotspur,2009
29,Jake Livermore,ENG,M,14-11-89,Enfield,None,Tottenham Hotspur,2009
30,Dorian Dervite,FRA,D,25-07-88,Lille,Lille,Tottenham Hotspur,2009
32,Benoît Assou-Ekotto,CMR,D,24-03-84,Arras,Lens,Tottenham Hotspur,2009
34,Dean Parrett,ENG,M,16-11-91,Hampstead,QPR,Tottenham Hotspur,2009
35,David Button,ENG,G,27-02-89,Stevenage,None,Tottenham Hotspur,2009
36,Ryan Fredericks,ENG,M,10-10-92,Potters Bar,None,Tottenham Hotspur,2009
37,Andros Townsend,ENG,M,16-07-91,Whipps Cross,None,Tottenham Hotspur,2009
38,Harry Kane,ENG,F,28-07-93,Walthamstow,None,Tottenham Hotspur,2009
39,Jonathan Woodgate,ENG,D,22-01-80,Middlesbrough,Middlesbrough,Tottenham Hotspur,2009
40,Paul-Jose M'Poku,BEL,M,19-04-92,Kinshasa,Standard Liège,Tottenham Hotspur,2009
1,Robert Green,ENG,G,18-01-80,Chertsey,Norwich C,West Ham United,2009
4,Danny Gabbidon,WAL,D,08-08-79,Cwmbran,Cardiff C,West Ham United,2009
7,Kieron Dyer,ENG,M,29-12-78,Ipswich,Newcastle U,West Ham United,2009
8,Scott Parker,ENG,M,13-10-80,Lambeth,Newcastle U,West Ham United,2009
9,Ilan,BRA,F,18-09-80,Curitiba,St-Etienne,West Ham United,2009
10,Guillermo Franco,MEX,F,11-03-76,Corrientes,Villarreal,West Ham United,2009
11,Mido,EGY,F,23-02-83,Cairo,Middlesbrough,West Ham United,2009
12,Carlton Cole,ENG,F,10-12-83,Croydon,Chelsea,West Ham United,2009
13,Luis Boa Morte,POR,M,08-04-77,Lisbon,Fulham,West Ham United,2009
14,Radoslav Kováč,CZE,D,27-11-79,Šumperk,Spartak Moscow,West Ham United,2009
15,Matthew Upson,ENG,D,18-04-79,Hartismere,Birmingham C,West Ham United,2009
16,Mark Noble,ENG,M,05-08-87,West Ham,None,West Ham United,2009
17,Benni McCarthy,RSA,F,11-12-77,Cape Town,Blackburn R,West Ham United,2009
18,Jonathan Spector,USA,D,03-01-86,Arlington Heights,Manchester U,West Ham United,2009
19,Freddie Sears,ENG,F,27-11-89,Hornchurch,None,West Ham United,2009
20,Julien Faubert,FRA,M,08-01-83,Le Havre,Bordeaux,West Ham United,2009
21,Valon Behrami,SUI,M,19-04-85,Mitrovica ,Lazio,West Ham United,2009
22,Manuel Da Costa,POR,D,05-06-86,Saint-Max,Fiorentina,West Ham United,2009
23,Hérita Ilunga,COD,D,25-02-82,Kinshasa,Toulouse,West Ham United,2009
24,Frank Nouble,ENG,F,24-09-91,Lewisham,Chelsea,West Ham United,2009
28,Péter Kurucz,HUN,G,30-05-88,Budapest,Újpest,West Ham United,2009
29,Marek Štěch,CZE,G,28-01-90,Prague,Sparta Prague,West Ham United,2009
30,James Tomkins,ENG,D,29-03-89,Basildon,None,West Ham United,2009
31,Jack Collison,WAL,M,10-02-88,Watford,None,West Ham United,2009
32,Alessandro Diamanti,ITA,F,05-02-83,Prato,Livorno,West Ham United,2009
33,Fabio Daprelà,SUI,D,19-02-91,Ticino,Grasshoppers,West Ham United,2009
34,Oliver Lee,ENG,M,07-11-91,London,None,West Ham United,2009
35,Josh Payne,ENG,M,25-11-90,Basingstoke,None,West Ham United,2009
36,Anthony Edgar,ENG,M,30-09-90,Newham,None,West Ham United,2009
41,Zavon Hines,ENG,F,27-12-88,Kingston,None,West Ham United,2009
44,Bondz Ngala,ENG,D,10-03-89,Newham,None,West Ham United,2009
45,Jordan Spence,ENG,M,24-05-90,Woodford,None,West Ham United,2009
46,Junior Stanislas,ENG,M,26-11-89,Kidbrooke,None,West Ham United,2009
1,Chris Kirkland,ENG,G,05-02-81,Leicester,Liverpool,Wigan Athletic,2009
2,Steve Gohouri,CIV,D,02-08-81,Treichville,B Mönchengladbach,Wigan Athletic,2009
4,Antonio Amaya,ESP,D,31-05-83,Madrid,Rayo Vallecano,Wigan Athletic,2009
5,Gary Caldwell,SCO,D,04-12-82,Stirling,Celtic,Wigan Athletic,2009
6,Hendry Thomas,HON,M,23-02-85,La Ceiba,Olimpia [HON],Wigan Athletic,2009
7,Paul Scharner,AUT,M,03-11-80,Scheibbs,Brann,Wigan Athletic,2009
8,Ben Watson,ENG,M,07-09-85,Camberwell,Crystal Palace,Wigan Athletic,2009
9,Jason Scotland,TRI,F,18-02-79,Morvant,Swansea C,Wigan Athletic,2009
10,Jason Koumas,WAL,M,25-09-79,Wrexham,WBA,Wigan Athletic,2009
11,Victor Moses,ENG,F,12-12-90,Lagos,Crystal Palace,Wigan Athletic,2009
12,Mike Pollitt,ENG,G,29-02-72,Farmworth,Rotherham U,Wigan Athletic,2009
14,Charles N'Zogbia,FRA,M,28-05-86,Harfleur,Newcastle U,Wigan Athletic,2009
15,Jordi Gómez,ESP,M,24-05-85,Barcelona,Espanyol B,Wigan Athletic,2009
16,Scott Sinclair,ENG,M,25-03-89,Bath,Chelsea,Wigan Athletic,2009
17,Emmerson Boyce,BRB,D,24-09-79,Aylesbury,Crystal Palace,Wigan Athletic,2009
18,Marcelo Martins Moreno,BOL,F,18-06-87,Santa Cruz de la Sierra,Shakhtar Donetsk,Wigan Athletic,2009
19,Titus Bramble,ENG,D,21-07-81,Ipswich,Newcastle U,Wigan Athletic,2009
20,Hugo Rodallega,COL,F,25-07-85,El Carmelo,Necaxa,Wigan Athletic,2009
21,Tomasz Cywka,POL,M,27-06-88,Gliwice,Gwarek Zabrze,Wigan Athletic,2009
