Number,Name,Pos,Date of Birth,Birth Place,Previous Club,Current Club,Year
46,Paul Marshall,M,,Manchester,None,Manchester City,2007
1,Edwin van der Sar,G,29-10-70,Voorhout,Fulham,Manchester United,2007
2,Gary Neville,D,18-02-75,Bury,None,Manchester United,2007
3,Patrice Evra,D,15-05-81,Dakar,Monaco,Manchester United,2007
4,Owen Hargreaves,M,20-01-81,Calgary,Bayern Munich,Manchester United,2007
5,Rio Ferdinand,D,11-07-78,Peckham,Leeds U,Manchester United,2007
6,Wes Brown,D,13-10-79,Manchester,None,Manchester United,2007
7,Cristiano Ronaldo,F,02-05-85,Funchal,Sporting CP,Manchester United,2007
8,Anderson,M,13-04-88,Porto Alegre,FC Porto,Manchester United,2007
9,Louis Saha,F,08-08-78,Paris,Fulham,Manchester United,2007
10,Wayne Rooney,F,24-10-85,Liverpool,Everton,Manchester United,2007
11,Ryan Giggs,M,29-11-73,Cardiff,None,Manchester United,2007
12,Ben Foster,G,04-03-83,Leamington,Stoke C,Manchester United,2007
13,Park Ji-Sung,M,25-02-81,Suwon,PSV Eindhoven,Manchester United,2007
15,Nemanja Vidić,D,21-10-81,Užice,Spartak Moscow,Manchester United,2007
16,Michael Carrick,M,28-07-81,Wallsend,Tottenham H,Manchester United,2007
17,Nani,M,17-11-86,Praia,Sporting CP,Manchester United,2007
18,Paul Scholes,M,16-11-74,Salford,None,Manchester United,2007
19,Gerard Piqué,D,02-02-87,Barcelona,Barcelona,Manchester United,2007
21,Dong Fangzhuo,F,23-01-85,Dalian,Dalian Shide,Manchester United,2007
22,John O'Shea,D,30-04-81,Waterford,Waterford U,Manchester United,2007
24,Darren Fletcher,M,02-01-84,Edinburgh,None,Manchester United,2007
25,Danny Simpson,D,01-04-87,Salford,None,Manchester United,2007
27,Mikaël Silvestre,D,08-09-77,Chambray-Les-Tours,Internazionale,Manchester United,2007
29,Tomasz Kuszczak,G,20-03-82,Krosno Odrzańskie,WBA,Manchester United,2007
32,Carlos Tévez,F,02-05-84,Ciudadela,West Ham U,Manchester United,2007
33,Chris Eagles,M,19-11-85,Hemel Hempstead,None,Manchester United,2007
34,Rodrigo Possebom,M,13-02-89,Sapucaia do Sul,Internacional,Manchester United,2007
36,David Gray,D,05-04-88,Edinburgh,Hearts,Manchester United,2007
38,Thomas Heaton,G,15-04-86,Chester,None,Manchester United,2007
41,Ron-Robert Zieler,G,02-12-89,Cologne,Köln,Manchester United,2007
42,Sean Evans,M,25-09-87,Ludlow,Shrewsbury T,Manchester United,2007
43,Sam Hewson,M,28-11-88,Bolton,None,Manchester United,2007
44,James Chester,D,23-01-89,Warrington,None,Manchester United,2007
46,Richard Eckersley,D,03-12-89,Salford,None,Manchester United,2007
47,Danny Welbeck,F,26-11-90,Manchester,None,Manchester United,2007
1,Mark Schwarzer,G,10-06-72,Sydney,Bradford C,Middlesbrough,2007
2,Luke Young,D,19-07-79,Harlow,Charlton Ath,Middlesbrough,2007
3,Julio Arca,D,30-01-81,Quilmes,Sunderland,Middlesbrough,2007
4,Gary O'Neil,M,18-05-83,Beckenham,Portsmouth,Middlesbrough,2007
5,Chris Riggott,D,09-01-80,Derby,Derby Co,Middlesbrough,2007
6,Emanuel Pogatetz,D,16-01-83,Graz,Grazer AK,Middlesbrough,2007
7,George Boateng,M,09-05-75,Nkawkaw,Aston Villa,Middlesbrough,2007
9,Mido,F,23-02-83,Cairo,Tottenham H,Middlesbrough,2007
10,Fabio Rochemback,M,12-10-81,Soledade,Barcelona,Middlesbrough,2007
11,Jeremie Aliadière,F,30-03-83,Rambouillet,Arsenal,Middlesbrough,2007
12,Afonso Alves,F,30-01-81,Belo Horizonte,SC Heerenveen,Middlesbrough,2007
14,Robert Huth,D,18-08-84,Berlin,Chelsea,Middlesbrough,2007
15,Mohamed Shawky,M,10-05-81,Port Said,Al-Ahly,Middlesbrough,2007
17,Tuncay Şanlı,F,16-01-82,Sakarya,Fenerbahçe,Middlesbrough,2007
18,Lee Dong-Gook,F,29-04-79,Pohang,Pohang Steelers,Middlesbrough,2007
19,Stewart Downing,M,22-07-84,Middlesbrough,None,Middlesbrough,2007
21,Ross Turnbull,G,01-04-85,Bishop Auckland,None,Middlesbrough,2007
22,Bradley Jones,G,19-02-82,Armadale,None,Middlesbrough,2007
26,Matthew Bates,D,12-10-86,Stockton-on-Tees,None,Middlesbrough,2007
27,Lee Cattermole,M,21-03-88,Stockton-on-Tees,None,Middlesbrough,2007
28,Adam Johnson,M,14-07-87,Sunderland,None,Middlesbrough,2007
29,Anthony McMahon,D,24-03-86,Bishop Auckland,None,Middlesbrough,2007
31,David Wheater,D,14-02-87,Redcar,None,Middlesbrough,2007
32,Jason Steele,G,18-08-90,Newton Aycliffe,None,Middlesbrough,2007
33,Andrew Taylor,D,08-01-86,Hartlepool,None,Middlesbrough,2007
34,Jason Kennedy,M,09-11-86,Stockton-on-Tees,None,Middlesbrough,2007
35,Graeme Owens,M,06-01-88,Cramlington,None,Middlesbrough,2007
38,Sebastian Hines,D,29-05-88,Wetherby,None,Middlesbrough,2007
40,Jonathan Grounds,D,02-02-88,Ingleby Barwick,None,Middlesbrough,2007
42,Tom Craddock,F,14-10-86,Darlington,None,Middlesbrough,2007
1,Shay Given,G,24-04-76,Lifford,Blackburn R,Newcastle United,2007
2,Stephen Carr,D,29-08-76,Dublin,Tottenham H,Newcastle United,2007
3,José Enrique,D,23-01-86,Valencia,Villarreal,Newcastle United,2007
5,Emre Belözoğlu,M,09-07-80,Istanbul,Internazionale,Newcastle United,2007
6,Claudio Caçapa,D,29-05-76,Lavras,Lyon,Newcastle United,2007
7,Joey Barton,M,09-02-82,Huyton,Manchester C,Newcastle United,2007
9,Obafemi Martins,F,28-10-84,Lagos,Internazionale,Newcastle United,2007
10,Michael Owen,F,14-12-79,Chester,Real Madrid,Newcastle United,2007
11,Damien Duff,M,03-02-79,Ballyboden,Chelsea,Newcastle United,2007
13,Steve Harper,G,02-03-74,Easington,Seaham Red Star,Newcastle United,2007
14,Charles N'Zogbia,M,28-05-86,Harfleur,Le Havre,Newcastle United,2007
15,Lamine Diatta,D,07-02-75,Dakar,Beşiktaş,Newcastle United,2007
16,James Milner,M,01-04-86,Leeds,Leeds U,Newcastle United,2007
17,Alan Smith,F,28-10-80,Leeds,Manchester U,Newcastle United,2007
20,Gérémi,M,20-12-78,Bafoussam,Chelsea,Newcastle United,2007
21,Habib Beye,D,19-10-77,Suresnes,Marseille,Newcastle United,2007
22,Nicky Butt,M,21-01-75,Manchester,Manchester U,Newcastle United,2007
23,Shola Ameobi,F,10-12-81,Zaria,None,Newcastle United,2007
25,Abdoulaye Diagne-Faye,D,26-02-78,Dakar,Bolton W,Newcastle United,2007
26,Peter Ramage,D,22-11-83,Ashington,None,Newcastle United,2007
27,Steven Taylor,D,23-01-86,Greenwich,None,Newcastle United,2007
30,David Edgar,D,19-05-87,Kitchener,None,Newcastle United,2007
34,Fraser Forster,G,17-03-88,Hexham,None,Newcastle United,2007
35,Ben Tozer,D,03-01-90,Plymouth,Swindon T,Newcastle United,2007
36,Mark Viduka,F,10-09-75,Melbourne,Middlesbrough,Newcastle United,2007
37,James Troisi,F,07-03-88,Adelaide,None,Newcastle United,2007
38,Kazenga LuaLua,F,12-10-90,Kinshasa,None,Newcastle United,2007
39,Andrew Carroll,F,01-06-89,Gateshead,None,Newcastle United,2007
1,David James,G,08-01-70,Welwyn,Manchester C,Portsmouth,2007
2,Linvoy Primus,D,14-09-73,Forest Gate,Reading,Portsmouth,2007
3,Lucien Aubey,D,24-05-84,Brazzaville,Lens,Portsmouth,2007
4,Lauren,M,19-01-77,Les Ulysses,Arsenal,Portsmouth,2007
5,Glen Johnson,D,23-08-84,Greenwich,Chelsea,Portsmouth,2007
6,Lassana Diarra,M,03-10-85,Paris,Arsenal,Portsmouth,2007
7,Hermann Hreidarsson,D,07-11-74,Reykjavik,Charlton Ath,Portsmouth,2007
8,Pape Bouba Diop,M,28-01-78,Dakar,Fulham,Portsmouth,2007
9,Milan Baroš,F,28-10-81,Valašské Meziříčí,Lyon,Portsmouth,2007
10,David Nugent,F,05-02-85,Liverpool,Preston NE,Portsmouth,2007
11,Sulley Muntari,M,27-07-84,Accra,Udinese,Portsmouth,2007
14,Jermain Defoe,F,10-07-82,Beckton,Tottenham H,Portsmouth,2007
15,Sylvain Distin,D,16-12-77,Bagnolet,Manchester C,Portsmouth,2007
16,Noé Pamarot,D,14-04-79,Fontenay-sous-Bois,Tottenham H,Portsmouth,2007
17,John Utaka,F,01-08-82,Legugnu,Rennes,Portsmouth,2007
18,Arnold Mvuemba,M,28-01-85,Alencon,Rennes,Portsmouth,2007
19,Niko Kranjčar,M,13-08-84,Zagreb,Hajduk Split,Portsmouth,2007
20,Martin Cranie,D,23-09-86,Yeovil,Southampton,Portsmouth,2007
21,Jamie Ashdown,G,30-11-80,Reading,Reading,Portsmouth,2007
22,Richard Hughes,M,25-06-79,Glasgow,Bournemouth,Portsmouth,2007
23,Sol Campbell,D,18-09-74,Newham,Arsenal,Portsmouth,2007
24,Richard Duffy,D,30-08-85,Swansea,Swansea C,Portsmouth,2007
27,Nwankwo Kanu,F,08-01-76,Owerri,WBA,Portsmouth,2007
28,Sean Davis,M,20-09-79,Clapham,Tottenham H,Portsmouth,2007
30,Pedro Mendes,M,26-02-79,Guimarães,Tottenham H,Portsmouth,2007
31,Asmir Begović,G,20-06-87,Trebinje,None,Portsmouth,2007
34,Franck Songo'o,M,14-05-87,Yaoundé,Barcelona B,Portsmouth,2007
35,Marc Wilson,M,17-08-87,Belfast,None,Portsmouth,2007
1,Marcus Hahnemann,G,15-06-72,Seattle,Fulham,Reading,2007
2,Graeme Murty,D,13-11-74,Saltburn,York C,Reading,2007
3,Nicky Shorey,D,19-02-81,Romford,Leyton Orient,Reading,2007
4,Kalifa Cissé,M,09-01-84,Orleans,Boavista,Reading,2007
5,Ibrahima Sonko,D,22-01-81,Bignola,Brentford ,Reading,2007
6,Brynjar Gunnarsson,D,16-10-75,Reykjavik,Watford,Reading,2007
7,Glen Little,M,15-10-75,Wimbledon,Burnley,Reading,2007
8,Leroy Lita,F,28-12-84,Brazzaville,Bristol C,Reading,2007
9,Kevin Doyle,F,18-09-83,Wexford,Cork C,Reading,2007
10,Stephen Hunt,M,08-01-81,Laois,Brentford,Reading,2007
11,John Oster,M,12-08-78,Boston,Burnley,Reading,2007
12,Dave Kitson,F,21-01-80,Hitchin,Cambridge U,Reading,2007
14,John Halls,D,14-02-82,Islington,Stoke C,Reading,2007
15,James Harper,M,11-09-80,Chelmsford,Arsenal,Reading,2007
16,Ívar Ingimarsson,M,20-08-77,Reykjavik,Wolverhampton W,Reading,2007
17,Bobby Convey,F,27-05-83,Philadelphia,DC United,Reading,2007
19,Liam Rosenior,D,07-09-84,Wandsworth,Fulham,Reading,2007
20,Emerse Faé,M,24-01-84,Nantes,Nantes,Reading,2007
22,André Bikey,D,01-08-85,Douala,Lokomotiv Moscow,Reading,2007
23,Ulises De La Cruz,D,02-08-74,Piqulucho,Aston Villa,Reading,2007
24,Shane Long,F,22-01-87,Kilkenny,Cork C,Reading,2007
25,Alan Bennett,D,10-04-81,Cork,Cork C,Reading,2007
27,Aaron Brown,D,23-06-83,Birmingham,Tamworth,Reading,2007
28,Marek Matějovský,M,20-12-81,Brandýs nad Labem,Mladá Boleslav,Reading,2007
29,Michael Duberry,D,14-10-75,Enfield,Stoke C,Reading,2007
30,Jimmy Kébé,M,19-01-84,Vitry-sur-Seine,Lens,Reading,2007
32,Adam Federici,G,31-01-85,Nowra,Sassari Torres,Reading,2007
33,Scott Golbourne,D,29-02-88,Bristol,Bristol C,Reading,2007
34,James Henry,M,06-10-89,Woodley,None,Reading,2007
36,Mikkel Andersen,G,17-12-88,Herlev,AB København,Reading,2007
38,Adam Bygrave,D,24-02-89,Walthamstow,None,Reading,2007
40,Jem Karacan,M,21-02-89,London,None,Reading,2007
42,Oliver Bozanic,M,01-08-89,Sydney,Central Coast Mariners,Reading,2007
43,Viktor Unnar Illugason,F,25-01-90,Kópavogur,Breiðablik,Reading,2007
1,Craig Gordon,G,31-12-82,Edinburgh,Hearts,Sunderland,2007
3,Ian Harte,D,31-08-77,Drogheda,Levante,Sunderland,2007
4,Dickson Etuhu,M,06-08-82,Kano,Norwich C,Sunderland,2007
5,Nyron Nosworthy,D,10-11-80,Brixton,Gillingham,Sunderland,2007
6,Paul McShane,D,01-06-86,Wicklow,WBA,Sunderland,2007
7,Carlos Edwards,M,24-10-78,Port of Spain,Luton T,Sunderland,2007
8,Dean Whitehead,M,01-12-82,Abingdon,Oxford U,Sunderland,2007
9,Anthony Stokes,F,25-07-88,Dublin,Arsenal,Sunderland,2007
10,Kieran Richardson,M,21-10-84,Greenwich,Manchester U,Sunderland,2007
11,Daryl Murphy,F,15-03-83,Waterford,Waterford U,Sunderland,2007
12,Liam Miller,M,13-02-81,Cork,Manchester U,Sunderland,2007
13,Darren Ward,G,05-11-74,Worksop,Norwich C,Sunderland,2007
14,Danny Higginbotham,D,29-12-78,Manchester,Stoke C,Sunderland,2007
15,Danny Collins,D,08-06-80,Chester,Chester C,Sunderland,2007
16,Michael Chopra,F,23-12-83,Gosforth,Cardiff C,Sunderland,2007
17,Kenwyne Jones,F,01-05-84,Point Fortin,Southampton,Sunderland,2007
18,Grant Leadbitter ,M,06-07-86,Chester-le-Street,None,Sunderland,2007
19,Dwight Yorke,F,11-03-71,Canaan,Sydney FC,Sunderland,2007
20,Andy Reid,M,29-07-82,Dublin,Charlton Ath,Sunderland,2007
21,Russell Anderson,D,25-10-78,Aberdeen,Aberdeen,Sunderland,2007
23,Roy O'Donovan,F,08-10-85,Cork,Cork C,Sunderland,2007
24,Trevor Carson,G,03-05-88,Downpatrick,None,Sunderland,2007
25,Jean-Yves Mvoto,D,09-06-88,Paris,Paris St-Germain,Sunderland,2007
26,Phillip Bardsley,D,28-06-85,Salford,Manchester U,Sunderland,2007
29,Peter Hartley,D,04-03-88,Hartlepool,None,Sunderland,2007
30,Jake Richardson,M,22-10-88,Watford,None,Sunderland,2007
31,David Connolly,F,06-06-77,Willesden,Wigan Ath,Sunderland,2007
32,Márton Fülöp,G,05-03-83,Budapest,Tottenham H,Sunderland,2007
33,Ross Wallace,M,23-05-85,Dundee,Celtic,Sunderland,2007
34,Billy Dennehy,M,17-02-87,Tralee,Shelbourne,Sunderland,2007
35,Michael Kay,D,09-12-89,Shotley Bridge,None,Sunderland,2007
36,Gavin Donoghue,D,03-03-89,Dublin,None,Sunderland,2007
37,Robbie Weir,M,12-09-88,Belfast,Larne,Sunderland,2007
38,Jamie Chandler,M,24-03-89,South Shields,None,Sunderland,2007
39,Martyn Waghorn,F,23-01-90,South Shields,None,Sunderland,2007
40,David Dowson,F,09-12-88,Bishop Auckland,None,Sunderland,2007
41,Michael Liddle,D,25-12-89,London,None,Sunderland,2007
42,Jordan Henderson,M,17-06-90,Sunderland,None,Sunderland,2007
43,Conor Hourihane,M,02-02-91,Cork,None,Sunderland,2007
44,Jonny Evans,D,01-03-88,Belfast,Manchester U,Sunderland,2007
45,Rade Prica,F,30-06-80,Ljungby,Aalborg,Sunderland,2007
1,Paul Robinson,G,15-10-79,Beverley,Leeds U,Tottenham Hotspur,2007
2,Pascal Chimbonda,D,21-02-79,Les Abymes,Wigan Ath,Tottenham Hotspur,2007
3,Lee Young-Pyo,D,23-04-77,Hongcheon,PSV Eindhoven,Tottenham Hotspur,2007
4,Didier Zokora,M,14-12-80,Abidjan,St-Etienne,Tottenham Hotspur,2007
5,Younes Kaboul,D,01-04-86,St-Julien-en-Genevois,Auxerre,Tottenham Hotspur,2007
6,Teemu Tainio,M,27-11-79,Tornio,Auxerre,Tottenham Hotspur,2007
8,Jermaine Jenas,M,18-02-83,Nottingham,Newcastle U,Tottenham Hotspur,2007
9,Dimitar Berbatov,F,30-01-81,Blagoevgrad,Bayer Leverkusen,Tottenham Hotspur,2007
10,Robbie Keane,F,07-08-80,Dublin,Leeds U,Tottenham Hotspur,2007
11,Gilberto,D,28-02-77,Rio de Janeiro,Hertha Berlin,Tottenham Hotspur,2007
12,Radek Černý,G,18-02-74,Prague,Slavia Prague,Tottenham Hotspur,2007
15,Steed Malbranque,M,01-06-80,Mouscron,Fulham,Tottenham Hotspur,2007
16,Gareth Bale,D,16-07-89,Cardiff,Southampton,Tottenham Hotspur,2007
17,Kevin-Prince Boateng,M,03-06-87,Berlin,Hertha Berlin,Tottenham Hotspur,2007
19,Adel Taarabt,M,24-05-89,Berre-l'Étang,Lens,Tottenham Hotspur,2007
20,Michael Dawson,D,18-11-83,Northallerton,Nottingham F,Tottenham Hotspur,2007
22,Tom Huddlestone,D,28-12-86,Nottingham,Derby Co,Tottenham Hotspur,2007
23,Darren Bent,F,02-06-84,Tooting,Charlton Ath,Tottenham Hotspur,2007
24,Jamie O'Hara,M,25-09-86,South London,Arsenal,Tottenham Hotspur,2007
25,Aaron Lennon,M,16-04-87,Chapletown,Leeds U,Tottenham Hotspur,2007
26,Ledley King,D,10-12-80,Bow,None,Tottenham Hotspur,2007
28,Alan Hutton,D,30-11-84,Glasgow,Rangers,Tottenham Hotspur,2007
31,Tommy Forecast,G,15-10-86,Newham,None,Tottenham Hotspur,2007
32,Benoît Assou-Ekotto,D,24-03-84,Arras,Lens,Tottenham Hotspur,2007
33,Ricardo Rocha,D,10-03-78,Braga,Benfica,Tottenham Hotspur,2007
34,Andy Barcham,F,16-12-86,Basildon,None,Tottenham Hotspur,2007
35,Dorian Dervite,D,25-07-88,Lille,Lille,Tottenham Hotspur,2007
36,Simon Dawkins,F,12-01-87,Edgware,None,Tottenham Hotspur,2007
37,Danny Rose,M,07-02-90,Doncaster,Leeds U,Tottenham Hotspur,2007
38,Troy Archibald-Henville,D,11-04-88,Newham,None,Tottenham Hotspur,2007
39,Jonathan Woodgate,D,22-01-80,Middlesbrough,Middlesbrough,Tottenham Hotspur,2007
44,Chris Gunter,D,21-07-89,Newport,Cardiff C,Tottenham Hotspur,2007
1,Robert Green,G,18-01-80,Chertsey,Norwich C,West Ham United,2007
2,Lucas Neill,D,03-09-78,Sydney,Blackburn R,West Ham United,2007
3,George McCartney,D,29-04-81,Belfast,Sunderland,West Ham United,2007
4,Danny Gabbidon,D,08-08-79,Cwmbran,Cardiff C,West Ham United,2007
5,Anton Ferdinand,D,18-02-85,Peckham,None,West Ham United,2007
6,Matthew Upson,D,18-04-79,Hartismere,Birmingham C,West Ham United,2007
7,Fredrik Ljungberg,M,16-04-77,Halmstad,Arsenal,West Ham United,2007
8,Scott Parker,M,13-10-80,Lambeth,Newcastle U,West Ham United,2007
9,Dean Ashton,F,24-11-83,Swindon,Norwich C,West Ham United,2007
10,Craig Bellamy,F,13-01-79,Cardiff,Liverpool,West Ham United,2007
11,Matthew Etherington,M,14-08-81,Truro,Tottenham H,West Ham United,2007
12,Carlton Cole,F,10-12-83,Croydon,Chelsea,West Ham United,2007
14,John Pantsil,M,15-06-81,Berekum,Hapoel Tel Aviv,West Ham United,2007
15,Nolberto Solano,M,12-12-74,Callao,Newcastle U,West Ham United,2007
16,Mark Noble,M,05-08-87,West Ham,None,West Ham United,2007
17,Hayden Mullins,M,27-03-79,Reading,Crystal Palace,West Ham United,2007
18,Jonathan Spector,D,01-03-86,Arlington Heights,Manchester U,West Ham United,2007
19,James Collins,D,23-04-83,Newport,Cardiff C,West Ham United,2007
20,Julien Faubert,D,08-01-83,Le Havre,Bordeaux,West Ham United,2007
21,Richard Wright,G,11-05-77,Ipswich,Everton,West Ham United,2007
22,Tony Stokes,M,01-07-87,London,None,West Ham United,2007
23,James Walker,G,07-09-73,Sutton-in-Ashfield,Walsall,West Ham United,2007
25,Bobby Zamora,F,16-01-81,Barking,Tottenham H,West Ham United,2007
26,Nigel Quashie,M,20-07-78,Nunhead,WBA,West Ham United,2007
27,Calum Davenport,D,01-01-83,Bedford,Tottenham H,West Ham United,2007
28,Kyel Reid,M,26-11-87,South London,None,West Ham United,2007
29,Lee Bowyer,M,01-03-77,Newham,Newcastle U,West Ham United,2007
30,James Tomkins,D,29-03-89,Basildon,None,West Ham United,2007
32,Kieron Dyer,M,29-12-78,Ipswich,Newcastle U,West Ham United,2007
33,Henri Camara,F,05-10-77,Dakar,Wigan Ath,West Ham United,2007
34,Luis Boa Morte,M,08-04-77,Lisbon,Fulham,West Ham United,2007
39,Jack Collison,M,10-02-88,Watford,None,West Ham United,2007
40,Freddie Sears,F,27-11-89,Hornchurch,None,West Ham United,2007
1,Chris Kirkland,G,05-02-81,Leicester,Liverpool,Wigan Athletic,2007
2,Ryan Taylor,D,19-08-84,Liverpool,Tranmere R,Wigan Athletic,2007
3,Erik Edman,D,11-11-78,Helsingborg,Rennes,Wigan Athletic,2007
5,Wilson Palacios,M,29-07-84,La Ceiba,Olimpia [HON],Wigan Athletic,2007
6,Antoine Sibierski,M,08-05-74,Lille,Newcastle U,Wigan Athletic,2007
8,Kevin Kilbane,M,02-01-77,Preston,Everton,Wigan Athletic,2007
9,Emile Heskey,F,01-11-78,Leicester,Birmingham C,Wigan Athletic,2007
10,Jason Koumas,M,25-09-79,Wrexham,WBA,Wigan Athletic,2007
11,Michael Brown,M,25-01-77,Hartlepool,Fulham,Wigan Athletic,2007
12,Mike Pollitt,G,29-02-72,Farmworth,Rotherham U,Wigan Athletic,2007
13,Carlo Nash,G,13-09-73,Bolton,Preston NE,Wigan Athletic,2007
14,Marlon King,F,26-04-80,Dulwich,Watford,Wigan Athletic,2007
15,Julius Aghahowa,F,02-12-82,Benin City,Shakhtar Donetsk,Wigan Athletic,2007
16,Luis Antonio Valencia,M,08-04-85,Lago Agrio,Villarreal,Wigan Athletic,2007
17,Emmerson Boyce,D,24-09-79,Aylesbury,Crystal Palace,Wigan Athletic,2007
18,Paul Scharner,D,03-11-80,Scheibbs,Brann,Wigan Athletic,2007
19,Titus Bramble,D,21-07-81,Ipswich,Newcastle U,Wigan Athletic,2007
20,Salomon Olembe,M,12-08-80,Yaoundé,Marseille,Wigan Athletic,2007
21,Tomasz Cywka,M,27-06-88,Gliwice,Gwarek Zabrze,Wigan Athletic,2007
22,David Cotterill,F,12-04-87,Cardiff,Bristol C,Wigan Athletic,2007
23,Marcus Bent,F,19-05-78,Hammersmith,Charlton Ath,Wigan Athletic,2007
24,Josip Skoko,M,12-10-75,Mount Gambier,Gençlerbirliği,Wigan Athletic,2007
25,Mario Melchiot,D,11-04-76,Amsterdam,Rennes,Wigan Athletic,2007
26,Rachid Bouaouzan,F,20-02-84,Rotterdam,Sparta Rotterdam,Wigan Athletic,2007
27,Tomasz Kupisz,M,01-02-90,Radom,KS Piaseczno,Wigan Athletic,2007
28,Peter Moore,M,13-09-88,Liverpool,Everton,Wigan Athletic,2007
29,Lewis Montrose,M,17-11-88,Manchester,Manchester C,Wigan Athletic,2007
30,Russell Saunders,G,01-03-89,Bury,Bury,Wigan Athletic,2007
31,Maynor Figueroa,D,05-02-83,Juticalpa,Olimpia [HON],Wigan Athletic,2007
32,Erik Hagen,D,20-07-75,Venne,Zenit St Petersburg,Wigan Athletic,2007
