Number,Name,Pos,Date of Birth,Birth Place,Previous Club,Current Club,Year
30,Gerardo,G,17-05-87,Palma de Mallorca,Mallorca B,Mallorca,2005
31,Toni Muñoz,F,13-08-82,Manacor,Mallorca B,Mallorca,2005
1,Juan Elía,G,24-01-79,Pamplona,Osasuna B,Osasuna,2005
2,José Izquierdo,D,08-03-80,La Rioja,Osasuna B,Osasuna,2005
3,Rafael Clavero,D,01-10-77,Córdoba,Real Murcia,Osasuna,2005
4,Miguel Flaño,D,19-08-84,Pamplona,Osasuna B,Osasuna,2005
5,Carlos Javier Cuéllar,D,23-08-81,Madrid,Numancia,Osasuna,2005
6,Raúl García,M,07-11-86,Pamplona,Osasuna B,Osasuna,2005
7,César Cruchaga,D,26-01-74,Pamplona,Gavá,Osasuna,2005
8,Juan Manuel Ortiz,M,03-01-82,Alicante,Atlético Madrid,Osasuna,2005
9,Savo Milosevic,F,09-02-73,Bielijna,Parma,Osasuna,2005
10,Patxi Puñal,M,09-06-75,Pamplona,Leganés,Osasuna,2005
11,Moha,M,09-12-77,Tagurit,Barcelona B,Osasuna,2005
12,Fran Moreno,M,05-07-84,Pamplona,Osasuna B,Osasuna,2005
13,Ricardo,G,30-12-71,Madrid,Manchester U,Osasuna,2005
14,Josetxo,D,25-02-75,Pamplona,Osasuna B,Osasuna,2005
15,Pierre Webó,F,20-01-82,Bafoussan,Nacional,Osasuna,2005
16,David López,M,09-10-82,Logroño,Osasuna B,Osasuna,2005
17,Javier Flaño,D,19-08-84,Pamplona,Osasuna B,Osasuna,2005
18,Marcelo Sosa,M,06-02-78,Montevideo,Atlético Madrid,Osasuna,2005
19,Enrique Corrales,D,03-01-82,Seville,Real Madrid B,Osasuna,2005
20,Bernardo Daniel Romeo,F,09-10-77,Tandil,Hamburg,Osasuna,2005
21,Valdo,M,23-04-81,Villablino,Real Madrid,Osasuna,2005
22,Iñaki Muñoz,M,07-05-78,Pamplona,Toledo,Osasuna,2005
23,Ludovic Delporte,M,02-06-80,St-Catherine-les-Arcs,Lens,Osasuna,2005
26,Roberto Santamaria,G,27-02-85,Pamplona,Osasuna B,Osasuna,2005
1,Dudu Aouate,G,17-10-77,Haifa,Maccabi Haifa,Racing Santander,2005
2,Damiá,D,15-04-82,Figueras,Barcelona B,Racing Santander,2005
3,Oriol,D,23-05-81,Sabadell,Racing B,Racing Santander,2005
4,Ezequiel Garay,D,10-10-86,Rosario,Newell's Old Boys,Racing Santander,2005
5,Neru,D,20-01-74,Laredo,Racing B,Racing Santander,2005
6,Vitolo,M,09-09-83,Santa Cruz de Tenerife,Tenerife,Racing Santander,2005
8,Hoalid Regragui,M,26-09-75,Corbeil,Ajaccio,Racing Santander,2005
10,Jonathan Valle,F,30-12-84,Santander,Racing B,Racing Santander,2005
11,Óscar Serrano,F,30-09-81,Blanes,Espanyol,Racing Santander,2005
13,Juan José Valencia,G,18-09-71,San Sebastián,Nàstic,Racing Santander,2005
14,Pablo Pinillos,D,07-09-74,Logroño,Levante,Racing Santander,2005
15,Mauricio Pinilla,F,02-04-84,Santiago,Sporting CP,Racing Santander,2005
16,Pablo Alfaro,D,26-04-69,Zaragoza,Sevilla,Racing Santander,2005
17,Wilfried Dalmat,M,17-07-82,Tours,Grenoble,Racing Santander,2005
18,Stéphane Dalmat,M,16-02-79,Tours,Internazionale,Racing Santander,2005
19,Javi Casquero,M,19-08-76,Toledo,Sevilla,Racing Santander,2005
20,Antoñito,F,02-02-78,Seville,Sevilla,Racing Santander,2005
21,Ayoze,F,25-05-82,La Laguna,Tenerife,Racing Santander,2005
22,José Moratón,D,14-07-79,Santander,Racing B,Racing Santander,2005
23,Felipe Melo,M,26-08-83,Rio de Janeiro,Mallorca,Racing Santander,2005
24,Sergio Matabuena,D,02-12-79,Santander,Racing B,Racing Santander,2005
25,Lee Ho-Jin,D,03-09-83,,Sung Kyun Kwan Univ,Racing Santander,2005
26,Rubén Garcia,M,12-06-81,Barco de Valdeorras,Racing B,Racing Santander,2005
27,Raúl Martín,F,27-07-82,Santander,Racing B,Racing Santander,2005
28,Samuel,D,03-01-84,Santander,Racing B,Racing Santander,2005
30,Trevi,G,12-10-82,Liébana,Racing B,Racing Santander,2005
32,Juanjo,M,28-10-85,Santander,Racing B,Racing Santander,2005
33,Cristian Portilla,M,28-08-88,Santander,Racing B,Racing Santander,2005
34,Álex,M,24-09-84,Bilbao,Racing B,Racing Santander,2005
35,Antonio Tomás,M,19-01-85,Torrelavega,Racing B,Racing Santander,2005
1,Iker Casillas,G,20-05-81,Madrid,Real Madrid B,Real Madrid,2005
2,Michel Salgado,D,22-10-75,As Neves,Celta Vigo,Real Madrid,2005
3,Roberto Carlos,D,04-10-73,Garca,Internazionale,Real Madrid,2005
4,Sergio Ramos,D,30-03-86,Camas,Sevilla,Real Madrid,2005
5,Zinedine Zidane,M,23-06-72,Marseille,Juventus,Real Madrid,2005
6,Iván Helguera,D,28-03-75,Santander,Espanyol,Real Madrid,2005
7,Raúl,F,27-06-77,Madrid,Real Madrid B,Real Madrid,2005
8,Júlio Baptista,M,10-01-81,São Paulo,Sevilla,Real Madrid,2005
9,Ronaldo,F,22-09-76,Rio de Janeiro,Internazionale,Real Madrid,2005
10,Robinho,F,25-01-84,São Vicente,Santos,Real Madrid,2005
11,Cicinho,D,24-06-80,Pradópolis,São Paulo,Real Madrid,2005
12,Pablo García,M,13-05-77,Pando,Osasuna,Real Madrid,2005
13,Diego López,G,11-03-81,Paradela,Real Madrid B,Real Madrid,2005
14,Guti,M,31-10-76,Madrid,Real Madrid B,Real Madrid,2005
15,Raúl Bravo,M,14-04-81,Gandia,Real Madrid B,Real Madrid,2005
16,Thomas Gravesen,M,03-11-76,Vejle,Everton,Real Madrid,2005
18,Jonathan Woodgate,D,22-01-80,Middlesbrough,Newcastle U,Real Madrid,2005
19,Antonio Cassano,F,07-12-82,Bari,Roma,Real Madrid,2005
20,Oscar Miñambres,D,01-01-81,Madrid,Real Madrid B,Real Madrid,2005
21,Carlos Diogo,D,18-07-83,Montevideo,River Plate,Real Madrid,2005
22,Francisco Pavón,D,01-09-80,Madrid,Real Madrid B,Real Madrid,2005
23,David Beckham,M,05-02-75,Leytonstone,Manchester U,Real Madrid,2005
24,Álvaro Mejía ,D,18-01-82,Madrid,Real Madrid B,Real Madrid,2005
26,Álvaro Arbeloa ,D,17-01-83,Salamanca,Real Madrid B,Real Madrid,2005
27,Roberto Soldado ,F,27-05-85,Valencia,Real Madrid B,Real Madrid,2005
28,Rubén de la Red,M,06-05-85,Madrid,Real Madrid B,Real Madrid,2005
29,José Manuel Jurado ,M,29-06-86,Sanlúcar de Barrameda,Real Madrid B,Real Madrid,2005
30,Jordi Codina,G,27-04-82,Barcelona,Real Madrid B,Real Madrid,2005
31,David Barral,F,05-10-83,Cádiz,Real Madrid B,Real Madrid,2005
32,Francisco Casilla,G,10-02-86,Tarragona,Real Madrid B,Real Madrid,2005
33,Miguel Palencia ,D,01-02-84,Madrid,Real Madrid B,Real Madrid,2005
34,Javi Garcia,M,02-08-87,Murcia,Real Madrid B,Real Madrid,2005
35,Javier Balboa,M,13-05-85,Madrid,Real Madrid B,Real Madrid,2005
36,Ernesto,M,26-04-85,Madrid,Real Madrid B,Real Madrid,2005
37,Borja Valero,M,21-01-85,Madrid,Real Madrid B,Real Madrid,2005
38,Marcos Tébar ,M,02-08-87,Madrid,Real Madrid B,Real Madrid,2005
40,Adrián Martín,M,10-10-82,Las Palmas,Real Madrid B,Real Madrid,2005
41,Álvaro Negredo,F,01-02-84,Madrid,Real Madrid B,Real Madrid,2005
42,David Cobeño,G,03-07-83,Madrid,Real Madrid B,Real Madrid,2005
1,Alberto,G,20-05-69,San Sebastián,Real Sociedad B,Real Sociedad,2005
2,John Viáfara,M,27-10-78,Robles,Portsmouth,Real Sociedad,2005
3,Mark González,M,07-10-84,Durban,Liverpool,Real Sociedad,2005
4,Dalibor Stevanović,M,27-09-84,Ljubljana,Domžale,Real Sociedad,2005
5,Jérémie Brechet,D,14-08-79,Lyon,Internazionale,Real Sociedad,2005
6,Mikel Labaka,D,08-10-80,Azpeitia,Real Sociedad B,Real Sociedad,2005
7,Igor Jauregi,D,29-04-74,Tolosa,Eibar,Real Sociedad,2005
8,Gaizka Garitano,M,07-09-75,Bilbao,Eibar,Real Sociedad,2005
10,Alvaro Novo,M,16-05-78,Córdoba,Atlético Madrid,Real Sociedad,2005
11,Mikel Aranburu,M,18-02-79,Azpeitia,Real Sociedad B,Real Sociedad,2005
12,Morten Skoubo,F,30-06-80,Holstebro,Brøndby,Real Sociedad,2005
13,Asier Riesgo,G,10-06-83,Deba,Real Sociedad B,Real Sociedad,2005
14,Aitor López Rekarte,D,18-08-75,San Sebastián,Real Sociedad B,Real Sociedad,2005
15,Nihat Kahveci,F,23-11-79,Istanbul,Beşiktaş,Real Sociedad,2005
16,Gari Uranga,F,21-06-80,Tolosa,Real Sociedad B,Real Sociedad,2005
17,Igor Gabilondo,M,02-10-79,Donostia,Real Sociedad B,Real Sociedad,2005
18,Cifu,D,13-07-80,Madrid,Eibar,Real Sociedad,2005
19,Javier Garrido,D,15-03-85,Irún,Real Sociedad B,Real Sociedad,2005
20,José Javier Barkero,M,27-04-79,Aretxabaleta,Real Sociedad B,Real Sociedad,2005
21,Oscar De Paula,F,31-05-75,Durango,Real Sociedad B,Real Sociedad,2005
22,Mikel Alonso,M,16-05-80,Tolosa,Real Sociedad B,Real Sociedad,2005
23,Sergio Boris,D,26-05-80,Avilés,Real Sociedad B,Real Sociedad,2005
24,Xabi Prieto,M,29-08-83,San Sebastián,Real Sociedad B,Real Sociedad,2005
26,Oskitz,F,10-12-86,Pasaia,Real Sociedad B,Real Sociedad,2005
28,Gorka Elustondo,M,18-03-87,Beasain,Real Sociedad B,Real Sociedad,2005
30,Mikel Saizar,G,18-01-83,Ibarra,Real Sociedad B,Real Sociedad,2005
31,Ion Ansotegi,D,13-07-82,Berriatua,Real Sociedad B,Real Sociedad,2005
33,Gorka Larrea,M,04-07-84,San Sebastián,Real Sociedad B,Real Sociedad,2005
39,Iñigo Díaz de Cerio,F,15-05-84,San Sebastián,Real Sociedad B,Real Sociedad,2005
40,Imanol Agirretxe,F,24-02-87,Usurbil,Real Sociedad B,Real Sociedad,2005
41,Mikel González,D,24-09-85,Mondragón,Real Sociedad B,Real Sociedad,2005
1,Andrés Palop,G,22-10-73,Valencia,Valencia,Sevilla,2005
2,Javi Navarro,D,02-06-74,Valencia,Valencia,Sevilla,2005
3,David Castedo,D,26-01-74,Palma de Mallorca,Mallorca,Sevilla,2005
4,Daniel Alves,M,06-05-83,Juazeiro,Bahia,Sevilla,2005
7,Javier Saviola,F,11-11-81,Buenos Aires,Barcelona,Sevilla,2005
8,Jordi López ,M,28-02-81,Granollers,Real Madrid B,Sevilla,2005
9,Ariza Makukula,F,03-04-81,Kinshasa,Nantes,Sevilla,2005
10,Luís Fabiano,F,11-08-80,Campinas,FC Porto,Sevilla,2005
11,Renato,M,15-05-79,Santa Mercedes,Santos,Sevilla,2005
12,Frédéric Kanouté,F,09-02-77,Sainte-Foy-le-Grande,Tottenham H,Sevilla,2005
13,Antonio Notario,G,19-11-72,Mataro,Granada,Sevilla,2005
14,Julien Escudé,D,17-08-79,Chartres,Ajax,Sevilla,2005
15,Jesús Navas,M,21-11-85,Los Palacios,Sevilla B,Sevilla,2005
16,Adriano Correia,M,26-10-84,Coritiba,Coritiba,Sevilla,2005
17,Jesuli,F,24-01-78,Sevilla,Celta Vigo,Sevilla,2005
18,José Luis Martí,M,28-04-75,Palma de Mallorca,Tenerife,Sevilla,2005
19,Ivica Dragutinovic,D,13-11-75,Cacak,Standard Liège,Sevilla,2005
20,Aitor Ocio,D,28-11-76,Vitoria,Athletic Bilbao,Sevilla,2005
22,Fernando Sales,M,09-12-77,Sevilla,Valladolid,Sevilla,2005
23,Pablo Ruiz,D,25-02-81,Seville,Sevilla B,Sevilla,2005
25,Enzo Maresca,M,02-10-80,Salerno,Juventus,Sevilla,2005
26,Pablo Vargas,G,16-02-84,Seville,Betis B,Sevilla,2005
27,Antonio Puerta,M,26-11-84,Seville,Sevilla B,Sevilla,2005
28,David Prieto,D,01-02-83,Seville,Sevilla B,Sevilla,2005
29,Antonio Vera,M,10-11-86,Seville,Sevilla B,Sevilla,2005
30,Kepa,F,13-01-84,Marbella,Sevilla B,Sevilla,2005
31,Manuel Blanco,D,03-01-83,Seville,Sevilla B,Sevilla,2005
32,José Carlos Moreno,D,06-06-87,Seville,Sevilla B,Sevilla,2005
33,Javi Varas,G,09-10-82,Seville,Sevilla B,Sevilla,2005
34,Diego Capel,M,16-02-88,Albox,Sevilla B,Sevilla,2005
35,José Ángel Crespo,D,02-09-87,Seville,Sevilla B,Sevilla,2005
37,Jonathan,M,04-02-82,Écija,Sevilla B,Sevilla,2005
38,Bruno,M,13-02-85,Jerez de la Frontera,Sevilla B,Sevilla,2005
39,Alejandro Alfaro,M,23-11-86,La Palma del Condado,Sevilla B,Sevilla,2005
1,Santiago Cañizares,G,18-12-69,Puertollano,Real Madrid,Valencia,2005
2,Miguel,D,01-04-80,Lisbon,Benfica,Valencia,2005
3,Fabio Aurelio,D,24-09-79,São Carlos,São Paulo,Valencia,2005
4,Roberto Ayala,D,04-12-73,Parana,Milan,Valencia,2005
5,Carlos Marchena,D,31-07-79,Las Cabezas,Benfica,Valencia,2005
6,David Albelda,M,09-01-77,Alzira,Valencia B,Valencia,2005
7,David Villa,F,12-03-81,Langreo,Zaragoza,Valencia,2005
8,Rubén Baraja,M,07-11-75,Valladolid,Atlético Madrid,Valencia,2005
9,Patrick Kluivert,F,09-01-76,Amsterdam,Newcastle U,Valencia,2005
10,Miguel Ángel Angulo,M,23-06-77,Oviedo,Villarreal,Valencia,2005
11,Mario Regueiro,M,14-09-78,Montevideo,Racing Santander,Valencia,2005
13,José Luis Mora,G,07-12-73,Aranjuez,Levante,Valencia,2005
14,Vicente,M,16-07-81,Valencia,Levante,Valencia,2005
15,Amedeo Carboni,D,04-06-65,Arezzo,Roma,Valencia,2005
16,Hugo Viana,M,15-01-83,Barcelos,Newcastle U,Valencia,2005
17,David Navarro,D,25-05-80,Valencia,Valencia B,Valencia,2005
18,Jorge López,M,19-09-78,Logroño,Villarreal,Valencia,2005
19,Francisco Rufete,M,20-11-76,Benejucar,Málaga,Valencia,2005
20,Mista,F,11-12-78,Murcia,Tenerife,Valencia,2005
21,Pablo Aimar,M,11-03-79,Rio Cuarto,River Plate,Valencia,2005
22,Edú,M,15-05-78,São Paulo,Arsenal,Valencia,2005
23,Curro Torres,D,27-12-76,Ahlen,Tenerife,Valencia,2005
24,Emiliano Moretti,D,06-11-81,Catanzaro,Parma,Valencia,2005
25,Ludovic Butelle,G,04-03-83,Reims,Metz,Valencia,2005
27,Pablo,M,04-11-85,Castellón,Valencia B,Valencia,2005
33,Raúl Albiol,M,09-04-85,Valencia,Valencia B,Valencia,2005
1,Javier López Vallejo,G,22-09-75,Pamplona,Osasuna,Villarreal,2005
2,Gonzalo Rodriguez,D,04-10-84,Buenos Aires,San Lorenzo,Villarreal,2005
3,Rodolfo Arruabarrena,D,20-07-75,Buenos Aires,Boca Juniors,Villarreal,2005
4,César Arzo,M,21-01-86,Villarreal,Villarreal B,Villarreal,2005
5,Diego Forlán,F,19-05-79,Montevideo,Manchester U,Villarreal,2005
6,Josico,M,01-06-75,Hellin,Las Palmas,Villarreal,2005
7,Antonio Guayre,F,03-10-80,Las Palmas,Las Palmas,Villarreal,2005
8,Juan Román Riquelme,M,24-06-78,Capital Federal,Barcelona,Villarreal,2005
9,Guillermo Franco,F,11-03-76,Corrientes,Monterrey,Villarreal,2005
10,Roger,M,15-12-76,Sabadell,Espanyol,Villarreal,2005
11,Javier Calleja,M,05-12-78,Madrid,Villarreal B,Villarreal,2005
12,Juan Pablo Sorín,D,05-05-76,Buenos Aires,Cruzeiro,Villarreal,2005
13,Sebastián Viera,G,03-07-83,Florida,Nacional [URU],Villarreal,2005
14,Héctor Font,M,15-06-84,Villarreal,Villarreal B,Villarreal,2005
16,Quiche Álvarez,D,20-07-75,Vigo,Lleida,Villarreal,2005
17,Javi Venta,D,13-12-75,Oviedo,Racing Ferrol,Villarreal,2005
18,Alessio Tacchinardi,M,23-07-75,Crema,Juventus,Villarreal,2005
19,Marcos Senna,M,17-07-76,São Paulo,São Caetano,Villarreal,2005
21,Santi Cazorla,M,13-12-84,Lugo de Llanera,Villarreal B,Villarreal,2005
22,Juan Manuel Peña,D,17-01-73,La Paz,Valladolid,Villarreal,2005
23,José Mari,F,12-10-78,Seville,Milan,Villarreal,2005
24,Josemi,D,15-11-79,Torremolinos,Liverpool,Villarreal,2005
25,Mariano Barbosa,G,24-07-84,Lanús,Banfield,Villarreal,2005
26,Xisco,F,27-06-86,Mallorca,Villarreal B,Villarreal,2005
29,Jony,F,05-12-87,Vigo,Villarreal B,Villarreal,2005
30,Carlos Alcántara,D,02-01-85,Zarandona,Villarreal B,Villarreal,2005
31,Juan Carlos,G,27-07-87,Calvià,Villarreal B,Villarreal,2005
32,José Javier Rubio,M,16-11-84,Valencia,Villarreal B,Villarreal,2005
35,Nino,D,13-01-83,Baza,Villarreal B,Villarreal,2005
36,Oscar López,F,02-05-84,Valencia,Villarreal B,Villarreal,2005
44,Marquitos,M,21-03-87,Sant Antoni de Portmany,Villarreal B,Villarreal,2005
46,David Fuster,M,02-03-82,Oliva,Villarreal B,Villarreal,2005
1,César Sanchez,G,09-02-71,Coria,Real Madrid,Zaragoza,2005
3,Agustín Aranzábal,D,15-03-73,San Sebastián,Real Sociedad,Zaragoza,2005
4,Luis Carlos Cuartero,D,17-08-75,Zaragoza,Zaragoza B,Zaragoza,2005
5,Alvaro,D,01-11-77,Mariópolis,Las Palmas,Zaragoza,2005
6,Gabriel Milito,D,09-07-80,Buenos Aires,Independiente,Zaragoza,2005
7,José María Movilla,M,02-08-75,Madrid,Atlético Madrid,Zaragoza,2005
8,Cani,M,08-03-81,Zaragoza,Zaragoza B,Zaragoza,2005
9,Sergio García,F,06-09-83,Barcelona,Barcelona,Zaragoza,2005
10,Savio,M,01-09-74,Sao Torquato,Real Madrid,Zaragoza,2005
12,Délio Toledo,D,10-02-76,Cecilio Báez,Colón (Santa Fe),Zaragoza,2005
13,Miguel,G,25-11-81,Logroño,Zaragoza B,Zaragoza,2005
14,Leonardo Ponzio,M,29-01-82,Rosario,Newell's Old Boys,Zaragoza,2005
15,Ángel Lafita,M,08-07-84,Zaragoza,Zaragoza B,Zaragoza,2005
16,Albert Celades,M,29-09-75,Andorre le Vieille,Real Madrid,Zaragoza,2005
17,Ewerthon,F,06-10-81,São Paulo,Borussia Dortmund,Zaragoza,2005
18,Óscar,M,11-12-82,Salamanca,Valladolid,Zaragoza,2005
19,Chus Herrero,D,02-10-84,Zaragoza,Zaragoza B,Zaragoza,2005
20,David Generelo,M,08-11-82,Badajoz,Zaragoza B,Zaragoza,2005
21,Alberto Zapater,M,13-06-85,Zaragoza,Zaragoza B,Zaragoza,2005
22,Diego Milito,F,06-12-79,Bernal,Genoa,Zaragoza,2005
24,Capi,D,04-02-81,Vigo,Zaragoza B,Zaragoza,2005
25,Raúl Valbuena,G,23-04-75,Madrid,Albacete,Zaragoza,2005
28,Jorge Gotor,M,14-04-87,Zaragoza,Zaragoza B,Zaragoza,2005
29,Félix Aznar,G,26-04-84,Zaragoza,Zaragoza B,Zaragoza,2005
